"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","idps","oip","stateless","hst","ooc"
1,"8lHrP5",1,1,2014,216,"Stateless","STA","XXA",47,"Cabo Verde","CVI","CPV","0","0","0","-",115,"0","0"
1,"8lHrP5",1,2,2015,216,"Stateless","STA","XXA",47,"Cabo Verde","CVI","CPV","0","0","0","-",115,"0","0"
1,"8lHrP5",1,3,2016,216,"Stateless","STA","XXA",47,"Cabo Verde","CVI","CPV","0","0","0","-",115,"0","0"
1,"8lHrP5",1,4,2017,216,"Stateless","STA","XXA",47,"Cabo Verde","CVI","CPV","0","0","0","-",115,"0","0"
1,"8lHrP5",1,5,2018,216,"Stateless","STA","XXA",47,"Cabo Verde","CVI","CPV","0","0","0","-",115,"0","0"
1,"8lHrP5",1,6,2019,216,"Stateless","STA","XXA",47,"Cabo Verde","CVI","CPV","0","0","0","-",115,"0","0"
1,"8lHrP5",1,7,2020,216,"Stateless","STA","XXA",47,"Cabo Verde","CVI","CPV","0","0","0","-",115,"0","0"
1,"8lHrP5",1,8,2021,216,"Stateless","STA","XXA",47,"Cabo Verde","CVI","CPV","0","0","0","-",115,"0","0"
1,"8lHrP5",1,9,2022,216,"Stateless","STA","XXA",47,"Cabo Verde","CVI","CPV","0","0","0","-",115,"0","0"
1,"8lHrP5",1,10,2023,216,"Stateless","STA","XXA",47,"Cabo Verde","CVI","CPV","0","0","0","-",115,"0","0"
1,"8lHrP5",1,11,2024,216,"Stateless","STA","XXA",47,"Cabo Verde","CVI","CPV","0","0","0","-",115,"0","0"
1,"8lHrP5",1,12,2025,216,"Stateless","STA","XXA",47,"Cabo Verde","CVI","CPV","0","0","0","-",115,"0","0"
1,"8lHrP5",1,13,1991,262,"Unknown ","UKN","UNK",47,"Cabo Verde","CVI","CPV",5,"0","0","-","0","0","0"
